section,slug,title,official_url,canonical_doc,action_type,target,implementation_note
concepts,concepts/context,Context overview,https://docs.langchain.com/oss/python/concepts/context,docs/concepts/context.md,update_existing,01_beginner/06_comparison.ipynb; 05_advanced/04_context_memory.ipynb; docs/skills/framework-selection.md,context engineering 공통 개념 반영
concepts,concepts/memory,Memory overview,https://docs.langchain.com/oss/python/concepts/memory,docs/concepts/memory.md,update_existing,01_beginner/06_comparison.ipynb; 03_langgraph/06_persistence_and_memory.ipynb; 05_advanced/04_context_memory.ipynb,short-term/long-term/checkpoint/store 구분 반영
concepts,concepts/products,"Frameworks, runtimes, and harnesses",https://docs.langchain.com/oss/python/concepts/products,docs/concepts/products.md,update_existing_or_new_core,01_beginner/06_comparison.ipynb OR 01_beginner/08_framework_selection_map.ipynb,Framework/Runtime/Harness 제품 지도 반영
concepts,concepts/providers-and-models,Providers and models,https://docs.langchain.com/oss/python/concepts/providers-and-models,docs/concepts/providers-and-models.md,update_existing,01_beginner/00_setup.ipynb; 02_langchain/03_models_and_messages.ipynb; docs/MODEL_PROVIDERS.md,provider/model identifier와 환경변수 정책 반영
deepagents,deepagents/a2a,A2A endpoint in Agent Server,https://docs.langchain.com/oss/python/deepagents/a2a,docs/deepagents/a2a.md,new_integration,08_integration/27_agent_protocols/,A2A/ACP/MCP protocol comparison
deepagents,deepagents/acp,Agent Client Protocol (ACP),https://docs.langchain.com/oss/python/deepagents/acp,docs/deepagents/acp.md,update_existing_and_new_integration,04_deepagents/10_sandboxes_and_acp.ipynb; 08_integration/27_agent_protocols/,ACP 개념과 protocol integration
deepagents,deepagents/async-subagents,Async subagents,https://docs.langchain.com/oss/python/deepagents/async-subagents,docs/deepagents/async-subagents.md,update_existing,04_deepagents/11_async_subagents.ipynb,기존 튜토리얼에 공식 canonical reference를 반영
deepagents,deepagents/backends,Backends,https://docs.langchain.com/oss/python/deepagents/backends,docs/deepagents/backends.md,update_existing,04_deepagents/04_backends.ipynb,기존 튜토리얼에 공식 canonical reference를 반영
deepagents,deepagents/changelog-py,,https://docs.langchain.com/oss/python/deepagents/changelog-py,docs/deepagents/changelog-py.md,update_existing,05_advanced/00_migration.ipynb; docs/releases/,기존 튜토리얼에 공식 canonical reference를 반영
deepagents,deepagents/code/configuration,Configuration,https://docs.langchain.com/oss/python/deepagents/code/configuration,docs/deepagents/code/configuration.md,new_integration,08_integration/21_deepagents_code_cli/,DCode configuration
